Date,ChangingRate,Company,Anomaly
2013-11-12,0.00452020393857,AAPL,0.0
2013-11-13,0.00507725675676,AAPL,0.0
2013-11-14,0.0102332207361,AAPL,0.0
2013-11-15,-0.00301948604916,AAPL,0.0
2013-11-18,-0.0121145905003,AAPL,0.0
2013-11-19,0.00100188623591,AAPL,0.0
2013-11-20,-0.00814669621039,AAPL,0.0
2013-11-21,0.00683925435609,AAPL,0.0
2013-11-22,0.000538972533838,AAPL,0.0
2013-11-25,0.00522055018507,AAPL,0.0
2013-11-26,0.0177058657109,AAPL,0.0
2013-11-27,0.0179933189947,AAPL,0.0
2013-11-29,0.011993060079,AAPL,0.0
2013-12-02,-0.0121325804495,AAPL,0.0
2013-12-03,0.0143650334708,AAPL,0.0
2013-12-04,-0.000884141481799,AAPL,0.0
2013-12-05,-0.00829478902234,AAPL,0.0
2013-12-06,-0.0101981585616,AAPL,0.0
2013-12-09,0.00985915498231,AAPL,0.0
2013-12-10,0.00349546646353,AAPL,0.0
2013-12-11,-0.00994712345679,AAPL,0.0
2013-12-12,-0.00284632288384,AAPL,0.0
2013-12-13,-0.0149595913388,AAPL,0.0
2013-12-16,0.00446831090694,AAPL,0.0
2013-12-17,-0.00147531351703,AAPL,0.0
2013-12-18,0.00194648897983,AAPL,0.0
2013-12-19,-0.00917198726115,AAPL,0.0
2013-12-20,0.00658194822387,AAPL,0.0
2013-12-23,0.00367954740565,AAPL,0.0
2013-12-24,-0.00389552721384,AAPL,0.0
2013-12-26,-0.00739305226651,AAPL,0.0
2013-12-27,-0.00661560953305,AAPL,0.0
2013-12-30,-0.00527399613241,AAPL,0.0
2013-12-31,0.0123607968937,AAPL,0.0
2014-01-02,-0.00458900081426,AAPL,0.0
2014-01-03,-0.0214882620351,AAPL,0.0
2014-01-06,0.0120569186934,AAPL,0.0
2014-01-07,-0.00786300134097,AAPL,0.0
2014-01-08,0.00863019826925,AAPL,0.0
2014-01-09,-0.0188003249802,AAPL,0.0
2014-01-10,-0.0127632426992,AAPL,0.0
2014-01-13,0.0109830024217,AAPL,0.0
2014-01-14,0.015179680861,AAPL,0.0
2014-01-15,0.00693738787679,AAPL,0.0
2014-01-16,-0.00117138039302,AAPL,0.0
2014-01-17,-0.019601839791,AAPL,0.0
2014-01-21,0.0149355329491,AAPL,0.0
2014-01-22,0.00108903991847,AAPL,0.0
2014-01-23,0.0113466593674,AAPL,0.0
2014-01-24,-0.014314089736,AAPL,0.0
2014-01-27,0.000781749591242,AAPL,0.0
2014-01-28,-0.00444221243808,AAPL,0.0
2014-01-29,-0.0063498797846,AAPL,0.0
2014-01-30,-0.00549211808407,AAPL,0.0
2014-01-31,0.0109454908382,AAPL,0.0
2014-02-03,-0.00214882906928,AAPL,0.0
2014-02-04,0.00581208293192,AAPL,0.0
2014-02-05,0.0119038000246,AAPL,0.0
2014-02-06,0.0048033426969,AAPL,0.0
2014-02-07,-0.00326060263773,AAPL,0.0
2014-02-10,0.0199167320383,AAPL,0.0
2014-02-11,0.0100826857752,AAPL,0.0
2014-02-12,-0.00191830888872,AAPL,0.0
2014-02-13,0.0182732921553,AAPL,0.0
2014-02-14,0.00280206471295,AAPL,0.0
2014-02-18,-1.8294871795e-05,AAPL,0.0
2014-02-19,-0.0135474644219,AAPL,0.0
2014-02-20,-0.00345219434162,AAPL,0.0
2014-02-21,-0.0141518934502,AAPL,0.0
2014-02-24,0.00841057016405,AAPL,0.0
2014-02-25,-0.0138275052652,AAPL,0.0
2014-02-26,-0.0119554799955,AAPL,0.0
2014-02-27,0.0203620215746,AAPL,0.0
2014-02-28,-0.00536783110403,AAPL,0.0
2014-03-03,0.00829166080681,AAPL,0.0
2014-03-04,0.000451981184632,AAPL,0.0
2014-03-05,0.00271233530924,AAPL,0.0
2014-03-06,-0.00382889334304,AAPL,0.0
2014-03-07,-0.00122390927018,AAPL,0.0
2014-03-10,0.00484509784664,AAPL,0.0
2014-03-11,0.0011951834615,AAPL,0.0
2014-03-12,0.00392876640153,AAPL,0.0
2014-03-13,-0.0126339811151,AAPL,0.0
2014-03-14,-0.00775358654856,AAPL,0.0
2014-03-17,-0.00181916435305,AAPL,0.0
2014-03-18,0.0104582449731,AAPL,0.0
2014-03-19,-0.0018787266328,AAPL,0.0
2014-03-20,-0.00224572273954,AAPL,0.0
2014-03-21,0.00176714045972,AAPL,0.0
2014-03-24,0.00143011028295,AAPL,0.0
2014-03-25,0.00644508057046,AAPL,0.0
2014-03-26,-0.012332613425,AAPL,0.0
2014-03-27,-0.00474057444073,AAPL,0.0
2014-03-28,-0.00271214898329,AAPL,0.0
2014-03-31,-0.00461778259304,AAPL,0.0
2014-04-01,0.00723365405514,AAPL,0.0
2014-04-02,0.000313411262055,AAPL,0.0
2014-04-03,-0.00480247126537,AAPL,0.0
